,review_id,product_id,selected_color,selected_size,size_opinion,quality_opinion,color_opinion,height,weight,top_size,detail_text
112538672_1,112538672_1,112538672,(롱롱ver)블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,156cm,50kg,상의 55,"이가격에, 이 옵션 수에, 이런 총알배송??? 만족도 최상. 당장 사십시오. 저는 157센치 스펙에, 화이트 롱 ver. 구매했어요 (근데 너무 벌써 뽕을 뽑아서 블랙 롱롱 ver. 추가 구매함) 패드 안비쳐요 💥 패드 안비침, 실존. 
캡모양 로켓발…
더보기"
112538672_2,112538672_2,112538672,아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,160cm,55kg,상의 55,"🧍🏻‍♀️체형
글 작성 전 제 체형 설명입니다.키와 몸무게는 160/55입니다. 체형은 스트레이트 체형으로, 몸 전체적으로 옆통이 있는 느낌이 강해요. 옆으로 굵은 느낌입니다. 상체가 통통하고 특히 배에 살집이 몰려있는 복부비만 몸무게에 비해 하체는 …
더보기"
112538672_3,112538672_3,112538672,(롱ver)크림,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,150cm,45kg,상의 55,"150/45 흉통 매우 넓은 사람입니다!

같은 제품 블랙사고 너무 좋아서 바로 크림도 샀습니다!
롱 버전 기장이 딱 좋아요! 배꼽 가려주고! 레이어드 해서 입을때 적당히 나와주고! 바지 허리춤에 딱 걸치는 정도라 너무 만족합니다~~~
재질은 진짜 너…
더보기"
112538672_4,112538672_4,112538672,(기모롱ver)블랙,one size,정사이즈예요,아주 만족해요,화면과 비슷해요,171cm,49kg,상의 44,"화면보다 예쁜 상품 처음봐요
셔링도 진짜 예쁘게 잡혀있어요 전 말랑깽이라 부유방이
없긴한데 대신 가슴도 없어요 ㅠ근데 이거 입음 가슴커버해줘요 게다가 기모니까 봄에는 이거입고 가디건 하나 걸치면 될 거 같아요 예뻐요 흰색 검정색 두개씩 사길 잘했어요
…
더보기"
112538672_5,112538672_5,112538672,아이보리,one size,정사이즈예요,보통이에요,화면과 비슷해요,159cm,47kg,상의 44,새벽배송으로 출국당일에 받았습니다!! 덕분에 인생샷 건졌어요 ㅎㅎ 속옷없이 입을수 있어서 더운 동남아여행시 너무 유용했네요~ 다음에 여행갈때 블랙으로도 하나더 구입하려고 합니다!ㅎㅎ 한국에서도 여름에 활용해서 코디하면 좋을거같아요~!~!
106711935_1,106711935_1,106711935,스카이블루(세미크롭ver.),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,159cm,58kg,상의 55,"159/62/80B 팔뚝살이 넘치고 몸통이 원형인 체형인데 몸에 딱 달라붙는 옷도 싫고 오버핏도 싫어하시는 분들이 입기 적절한 스탠다드 핏 반팔티인것 같아요! 기장도 배꼽에서 반뼘은 더 내려오는 기장이라 세미 크롭 치고도 좀 긴것같아서 부담없이 데일리…
더보기"
106711935_2,106711935_2,106711935,아이보리(세미크롭ver.),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,76kg,상의 77,"우선 쫀쫀하구요!! 저는 77사이즈임에도 괜찮게 맞아서 정말 좋습니다..ㅎㅎ
같은 상품 긴팔은 팔뚝부각이 조금 있었는데 반팔은 괜찮네요! 기본티로 참 적당해요
길이도 넘 길지도 짧지도 않아서 여기저기 입기에 좋을 것 같아요~~~"
106711935_3,106711935_3,106711935,핑크(세미크롭ver.),F(44~66),정사이즈예요,보통이에요,화면과 비슷해요,164cm,65kg,상의 66,"(키는 164cm 골격 등 체격이 좀 있는 편입니다.) 너무 길지도 않고 너무 짧지도 않은 진짜 말 그대로 세미크롭이라 좋아요. 가슴사이즈가 좀 있는 데다가 더위를 잘 타서 간단히 입을 티 고르기가 참 어려운데 이건 비치지도 않고 그렇다고 더운 느낌도…
더보기"
106711935_4,106711935_4,106711935,민트(20수ver.),F(44~66),정사이즈예요,보통이에요,화면보다 어두워요,,,,"목 부분에 제조사 텍 이거 그냥 없애고 제작하시는게 나을 거 같아요.. 제거하는 고객입장도 번거롭고 제작사도 아예 없애 버리는 게 편할텐데...진심 따가워 쥬거여 ㅎ ... 20수는 딱 각잡힌 느낌이라면 모달은 후들거리는 소재입니다 모달은 대신 보풀…
더보기"
106711935_5,106711935_5,106711935,블랙(세미크롭ver.),F(44~66),정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,50kg,상의 44,"작년에 아이보리 잘 입다가 잃어버려서..아이보리랑 검정 샀는데 
그래요 이거에요...내가 찾는 그 반팔...완전 제 맞춤옷처럼 너무 예뻐요
163기준 길이도 딱이고, 핏도 적당히 오버핏이라 완전 예뻐요ㅠㅜㅜㅜ
기본 반팔은 이거임 진짜 그리웠어요 잃어버…
더보기"
100511186_1,100511186_1,100511186,아이보리,S,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,52kg,상의 66,기본티로 입기 좋아요! 사이즈를 두가지로 구매했는데 그 날따라 원하는 핏으로 입으니까 좋더라고요 다만 세탁기에 한번 돌리면 목 부분이 쭈굴(?)해져서 다리미나 다른 걸로 한번 펴줘서 입어야 하는 번거로움이 있지만 매우 만족하며 잘 입고 있습니다👍🏻
100511186_2,100511186_2,100511186,아이보리,M,정사이즈예요,아주 만족해요,화면과 비슷해요,170cm,52kg,상의 66,기본티로 입기 좋아요! 사이즈를 두가지로 구매했는데 그 날따라 원하는 핏으로 입으니까 좋더라고요 다만 세탁기에 한번 돌리면 목 부분이 쭈굴(?)해져서 다리미나 다른 걸로 한번 펴줘서 입어야 하는 번거로움이 있지만 매우 만족하며 잘 입고 있습니다👍🏻
100511186_3,100511186_3,100511186,스카이블루,S,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,51kg,상의 55,"(기대 안했는데) 생각보다 더 퀄이 좋아요
완전 빳빳하진 않고 희미하게 광택, 부드러운 느낌이구,
사이즈는 길이는 비슷하고 옆통만 다른거 같은데
마른 편은 아니라 s 딱 잘 맞아서 (스판기 없는 편) 여유있게 입고 싶은 분들은 m 하셔도 될거같아오 ~…
더보기"
100511186_4,100511186_4,100511186,모카그레이,M,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"색깔은 화면과 정말 비슷하고요. 스판끼 없이 탄탄한 면입니다. 거친 면이 아니라 부드러워요:) S를 사야했는데 M을 사서.. 생각보다 기장이 길어욬ㅋㅋ 실밥 정리할 것도 없고, 새옷 냄새도 나지 않아요! 다만 살짝 올(?)이 나간 부분이 있는데, 살…
더보기"
